m,n,func,seed,ins_ms,coll_tbl,coll_lst,find_ms_hits,find_ms_misses,cmp_hits,cmp_misses,checksum
1009,1000,H_DIV,137,0,374,505,0,0,1,2,5247
1009,1000,H_DIV,271828,0,356,470,0,0,1,1,6556
1009,1000,H_DIV,314159,0,358,493,0,0,1,1,4564
1009,1000,H_MUL,137,0,367,520,0,0,1,1,5310
1009,1000,H_MUL,271828,0,374,500,0,0,1,0,4846
1009,1000,H_MUL,314159,0,400,562,0,0,1,1,5578
1009,1000,H_FOLD,137,0,370,499,0,0,1,3,5047
1009,1000,H_FOLD,271828,0,355,465,0,0,1,0,4581
1009,1000,H_FOLD,314159,0,354,482,0,0,1,1,6888
1009,10000,H_DIV,137,2,8991,49178,0,0,1,9,5247
1009,10000,H_DIV,271828,2,8991,49180,0,0,1,11,6556
1009,10000,H_DIV,314159,1,8991,49501,0,0,1,12,4564
1009,10000,H_MUL,137,1,8991,49290,0,0,1,12,5310
1009,10000,H_MUL,271828,2,8991,49353,0,0,1,15,4846
1009,10000,H_MUL,314159,1,8991,49576,0,0,1,13,5578
1009,10000,H_FOLD,137,1,8991,49349,0,0,1,9,5047
1009,10000,H_FOLD,271828,3,8991,49257,0,0,1,10,4581
1009,10000,H_FOLD,314159,1,8991,49373,0,0,1,13,6888
1009,100000,H_DIV,137,173,98991,4954703,0,0,1,116,5247
1009,100000,H_DIV,271828,135,98991,4950747,0,0,1,96,6556
1009,100000,H_DIV,314159,151,98991,4956882,0,0,1,91,4564
1009,100000,H_MUL,137,83,98991,4957455,0,0,1,96,5310
1009,100000,H_MUL,271828,106,98991,4956259,0,0,1,99,4846
1009,100000,H_MUL,314159,122,98991,4953468,0,0,1,95,5578
1009,100000,H_FOLD,137,165,98991,4955533,0,0,1,97,5047
1009,100000,H_FOLD,271828,94,98991,4957661,0,0,1,95,4581
1009,100000,H_FOLD,314159,79,98991,4955051,0,0,1,96,6888
10007,1000,H_DIV,137,0,42,45,0,0,1,0,68481
10007,1000,H_DIV,271828,0,50,53,0,0,1,0,43041
10007,1000,H_DIV,314159,0,53,53,0,0,1,0,46908
10007,1000,H_MUL,137,0,46,48,0,0,1,0,52709
10007,1000,H_MUL,271828,0,45,46,0,0,1,0,48101
10007,1000,H_MUL,314159,0,56,59,0,0,1,1,55374
10007,1000,H_FOLD,137,0,225,270,0,0,1,0,14128
10007,1000,H_FOLD,271828,0,217,262,0,0,1,0,14671
10007,1000,H_FOLD,314159,0,219,272,0,0,1,0,14960
10007,10000,H_DIV,137,0,3633,4879,0,0,1,1,68481
10007,10000,H_DIV,271828,0,3698,5070,0,0,1,0,43041
10007,10000,H_DIV,314159,0,3646,4924,0,0,1,0,46908
10007,10000,H_MUL,137,0,3712,5040,0,0,1,0,52709
10007,10000,H_MUL,271828,0,3602,4823,0,0,1,3,48101
10007,10000,H_MUL,314159,0,3670,4953,0,0,1,1,55374
10007,10000,H_FOLD,137,0,7844,28270,0,0,1,0,14128
10007,10000,H_FOLD,271828,0,7851,28271,0,0,1,0,14671
10007,10000,H_FOLD,314159,0,7841,27941,0,0,1,0,14960
10007,100000,H_DIV,137,20,89993,499467,0,0,1,12,68481
10007,100000,H_DIV,271828,14,89993,499214,0,0,1,5,43041
10007,100000,H_DIV,314159,15,89993,500174,0,0,1,10,46908
10007,100000,H_MUL,137,14,89994,500121,0,0,1,11,52709
10007,100000,H_MUL,271828,14,89993,499064,0,0,1,12,48101
10007,100000,H_MUL,314159,14,89994,499489,0,0,1,3,55374
10007,100000,H_FOLD,137,59,97332,2832636,0,0,1,0,14128
10007,100000,H_FOLD,271828,65,97334,2842343,0,0,1,0,14671
10007,100000,H_FOLD,314159,101,97346,2831612,0,0,1,0,14960
100003,1000,H_DIV,137,0,5,5,0,0,1,0,587728
100003,1000,H_DIV,271828,0,3,3,0,0,1,0,613068
100003,1000,H_DIV,314159,0,6,6,0,0,1,0,635396
100003,1000,H_MUL,137,0,7,7,0,0,1,0,526796
100003,1000,H_MUL,271828,0,7,7,0,0,1,0,480732
100003,1000,H_MUL,314159,0,6,6,0,0,1,0,553401
100003,1000,H_FOLD,137,0,225,270,0,0,1,0,14128
100003,1000,H_FOLD,271828,0,217,262,0,0,1,0,14671
100003,1000,H_FOLD,314159,0,219,272,0,0,1,0,14960
100003,10000,H_DIV,137,0,469,483,0,0,1,0,587728
100003,10000,H_DIV,271828,0,509,528,0,0,1,0,613068
100003,10000,H_DIV,314159,0,485,499,0,0,1,0,635396
100003,10000,H_MUL,137,0,459,470,0,0,1,0,526796
100003,10000,H_MUL,271828,0,433,448,0,0,1,1,480732
100003,10000,H_MUL,314159,0,471,493,0,0,1,0,553401
100003,10000,H_FOLD,137,0,7844,28270,0,0,1,0,14128
100003,10000,H_FOLD,271828,0,7851,28271,0,0,1,0,14671
100003,10000,H_FOLD,314159,0,7841,27941,0,0,1,0,14960
100003,100000,H_DIV,137,6,36755,50034,0,0,1,2,587728
100003,100000,H_DIV,271828,6,36846,50218,0,0,1,2,613068
100003,100000,H_DIV,314159,6,36905,50036,0,0,1,1,635396
100003,100000,H_MUL,137,6,36844,50129,0,0,1,0,526796
100003,100000,H_MUL,271828,6,36717,49825,0,0,1,3,480732
100003,100000,H_MUL,314159,5,36693,49723,0,0,1,0,553401
100003,100000,H_FOLD,137,75,97332,2832636,0,0,1,0,14128
100003,100000,H_FOLD,271828,55,97334,2842343,0,0,1,0,14671
100003,100000,H_FOLD,314159,59,97346,2831612,0,0,1,0,14960
